ds,yhat_almoco,yhat_janta
2024-11-27,386.44395520130365,285.66407180575555
2024-11-28,367.4603905555268,280.36336007422227
2024-11-29,312.6999031578272,199.40549380976006
2024-11-30,363.2940399237712,207.7419073912011
2024-12-01,356.3705454699161,202.31534545273632
2024-12-02,314.7665087252919,245.8700733856072
2024-12-03,352.88329106089583,278.45766692071135
2024-12-04,338.3376459199488,247.70894020786866
2024-12-05,308.1489984167772,233.63967616426
2024-12-06,242.63003620649891,144.1299797184563
2024-12-07,283.1709245679083,144.32442427305588
2024-12-08,267.1514213341384,131.35787862565547
2024-12-09,217.648114668188,168.16142302130459
2024-12-10,249.28359694821316,194.96383664758594
2024-12-11,229.87212213868756,159.559314286429
2024-12-12,196.60184766255927,142.1091743788768
2024-12-13,129.92093653376656,50.6174755192672
2024-12-14,171.3179459717498,50.32780364695094
2024-12-15,158.23087738597184,38.44620244578334
2024-12-16,113.75219342490007,77.94473205320796
2024-12-17,152.47667934078086,109.06120404177413
2024-12-18,142.14673959308908,79.56580347407385
2024-12-19,119.83525258918098,69.56239937106434
2024-12-20,65.83325879059913,-13.035515515133312
2024-12-21,121.43288528625735,-3.1069855016873476
2024-12-22,123.8398363505201,-3.5988894729486844
2024-12-23,95.88268895213378,48.2800848206181
2024-12-24,151.8657837806055,92.56229616453089
2024-12-25,159.22019797060827,76.79148876768673
2024-12-26,154.69280195069203,80.82834448130319
2024-12-27,118.24054218442728,12.331104714247061
2024-12-28,190.8202094811885,36.158436364031274
2024-12-29,209.30787233808633,49.0994006234788
2024-12-30,196.21506103213338,113.68487262886808
2024-12-31,265.5483401746935,169.69580208867305
2025-01-01,284.466606997021,164.43885053039645
2025-01-02,289.4759763040669,177.55701774422744
